1032;2017;3;0;2;1;15;0;0;-1;-1;0
1032;2017;4;0;2;2;11;0;0;-1;-1;0
1032;2017;5;0;2;1;10;0;0;-1;-1;0
1032;2017;6;0;2;2;7;0;0;-1;-1;0
1032;2017;7;0;2;2;1;0;0;-1;-1;0
1033;2017;1;0;2;1;58;1;2;84;72113;30000
1034;2017;1;0;2;1;63;1;3;50;20333;15000
1035;2017;1;0;2;1;50;1;3;54;10203;20000
1035;2017;2;1;2;2;48;1;3;20;30333;11000
1035;2017;3;0;2;2;20;1;3;25;41312;7800
1035;2017;4;0;2;2;19;1;3;25;11333;5500
1035;2017;5;0;2;1;15;0;0;-1;-1;0
1036;2017;1;1;2;1;39;1;2;48;41112;15000
1037;2017;1;0;2;1;58;0;3;-1;-1;0
1037;2017;2;0;2;2;26;1;3;40;72313;-1
1038;2017;1;0;2;1;43;1;1;40;5002;10000
1038;2017;2;0;2;2;42;0;0;-1;-1;0
1038;2017;3;0;2;2;20;1;2;40;80113;6000
1038;2017;4;0;2;1;16;0;0;-1;-1;0
1038;2017;5;0;2;1;9;0;0;-1;-1;0
1039;2017;1;1;2;1;46;1;3;12;80332;7000
1039;2017;2;0;2;2;12;0;0;-1;-1;0
256;2017;1;0;2;1;54;0;0;-1;-1;0
1040;2017;1;1;2;1;34;1;3;40;54333;13000
1040;2017;2;1;2;2;40;1;3;40;92332;20000
1040;2017;3;0;2;2;1;0;0;-1;-1;0
1041;2017;1;1;2;2;41;1;3;50;10333;50000
1041;2017;2;0;2;1;42;1;2;35;50111;20000
1041;2017;3;0;2;1;9;0;0;-1;-1;0
1041;2017;4;0;2;1;1;0;0;-1;-1;0
35;2017;1;1;2;2;55;1;3;40;30333;35000
35;2017;2;1;2;1;56;0;0;-1;-1;0
35;2017;3;0;2;2;24;1;3;40;20333;12000
35;2017;4;0;2;1;23;1;3;15;30312;8000
35;2017;5;0;2;2;82;0;0;-1;-1;0
1042;2017;1;1;2;1;62;1;2;3;57113;6000
153;2017;1;1;2;1;64;1;3;12;30333;-1
1043;2017;1;0;2;2;81;0;0;-1;-1;0
1044;2017;1;1;2;2;47;1;3;60;54202;17000
